State,Generation,Date,Estimated_Consumption,Estimated_Surplus,Energy_Status
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-04,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-04,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,129.27,Report-2025-12-04,127.98,1.29,Surplus
आंध्र प्रदेश / Andhra Pradesh,13.72,Report-2025-12-04,13.1,0.62,Surplus
तेलंगाना / Telangana,0.43,Report-2025-12-04,0.42,0.01,Surplus
कर्नाटक / Karnataka,32.08,Report-2025-12-04,32.72,-0.64,Deficit
केरल / Kerala,0.24,Report-2025-12-04,0.23,0.01,Surplus
तमिलनाडु / Tamil Nadu,19.64,Report-2025-12-04,18.96,0.68,Surplus
पांडिचेरी / Pondicherry,0.0,Report-2025-12-04,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,66.11,Report-2025-12-04,62.49,3.62,Surplus
बिहार / Bihar,0.0,Report-2025-12-04,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-04,0.0,0.0,Surplus
ओडिशा / Odisha,0.0,Report-2025-12-04,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-04,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-04,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-04,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-04,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-04,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-04,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-04,0.0,0.0,Surplus
मिज़ोरम / Mizoram,0.0,Report-2025-12-04,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-04,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-04,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-04,0.0,0.0,Surplus
राज्य / State / क्षेत्र / Region,5.0,Report-2025-12-05,4.66,0.34,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-05,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-05,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-05,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-05,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-05,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-05,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-05,0.0,0.0,Surplus
राजस्थान / Rajasthan,10.75,Report-2025-12-05,10.15,0.6,Surplus
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-05,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-05,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,10.75,Report-2025-12-05,11.0,-0.25,Deficit
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-05,0.0,0.0,Surplus
गुजरात / Gujarat,103.2,Report-2025-12-05,100.83,2.37,Surplus
मध्य प्रदेश / Madhya Pradesh,11.7,Report-2025-12-05,11.67,0.03,Surplus
महाराष्ट्र / Maharashtra,16.63,Report-2025-12-05,15.96,0.67,Surplus
दमन और दीव / Daman & Diu,0.0,Report-2025-12-05,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-05,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-05,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,131.53,Report-2025-12-05,128.2,3.33,Surplus
आंध्र प्रदेश / Andhra Pradesh,14.94,Report-2025-12-05,14.24,0.7,Surplus
तेलंगाना / Telangana,0.93,Report-2025-12-05,0.88,0.05,Surplus
कर्नाटक / Karnataka,32.65,Report-2025-12-05,30.17,2.48,Surplus
केरल / Kerala,0.45,Report-2025-12-05,0.44,0.01,Surplus
तमिलनाडु / Tamil Nadu,37.68,Report-2025-12-05,36.75,0.93,Surplus
