timestamp,solar_generation,wind_generation,demand,total_generation,source_file
2024-08-01 13:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 14:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 15:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 16:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 17:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 18:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 19:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 20:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 21:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 22:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-08-01 23:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 00:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 01:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 02:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 03:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 04:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 05:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 06:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 07:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 08:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 09:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 10:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 11:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 12:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 13:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 14:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 15:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 16:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 17:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 18:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 19:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 20:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 21:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 22:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-09-01 23:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 00:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 01:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 02:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 03:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 04:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 05:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 06:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 07:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 08:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 09:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 10:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 11:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 12:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 13:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 14:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 15:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 16:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 17:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 18:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 19:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 20:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 21:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 22:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-10-01 23:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-11-01 00:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-11-01 01:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-11-01 02:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-11-01 03:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-11-01 04:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-11-01 05:00:00,0,0,0,0,January 2024- June 2025.xlsx
2024-11-01 06:00:00,0,0,0,0,January 2024- June 2025.xlsx
