1,2,3,4,5,6,Month,7,8,9,10,11,12,13,14,Estimated_Consumption,Estimated_Surplus,Energy_Status
कुल/Total Including Large Hydro,212170.37999999998,191294.30849999996,28572.759181629997,22415.670803425997,127.4677855157605,RE_Monthly_Generation_report_January_2025,333588.6410580741,340712.6785797909,343483.80598517,309661.839644824,110.92222612225619,314911.04680354,287246.16884139803,,318081.11,15507.53,Surplus
कुल/Total Excluding Large Hydro,165202.20999999996,144326.13849999997,21184.709181629998,16063.390803425998,131.8819260570547,RE_Monthly_Generation_report_January_2025,206550.421058074,186387.458579791,210674.24598517,188551.77964482398,111.73283348585636,189489.53680354,172488.388841398,,194599.45,11950.97,Surplus
 (*) Solar Installed capacity including 2.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_January_2025,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during January 2025  is 57.75 MUs and April 2024 to  January 2025 is 5298.15MUs.",,,,,,RE_Monthly_Generation_report_January_2025,,,,,,,,,,,Deficit
,,,,Month -July 2025,,RE_Monthly_Generation_report_July_2025,,,,,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_July_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_July_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_July_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 31.07.2025),"Monitored Capacity (MW) 
(as on 31.07.2025)
for which generation data is available 
",RE Generation(MU) July'2025,RE Generation(MU) July'2024,% of same Month Last Year ,RE_Monthly_Generation_report_July_2025,,,RE Generation(MU) April'2025- July'2025,RE Generation(MU) April'2024- July'2024,% of same period Last Year ,,,,,,Deficit
,1,2,3,4,5,RE_Monthly_Generation_report_July_2025,,,6,7,8,,,,,,Deficit
पवन/Wind ,52140.100000000006,49931.045,17572.867150000002,13626.998045,128.9562608871718,RE_Monthly_Generation_report_July_2025,78807.284749381,67673.092600214,49450.542239,36748.800294,134.5636914494698,31877.675089,,,80566.2,-1758.92,Deficit
सौर/Solar ,119016.53999999998,92686.5079(*),12100.606866999999,10356.346403099997,116.84243067977995,RE_Monthly_Generation_report_July_2025,103749.271811933,91769.907699827,55145.22629789999,46469.047513599995,118.67087717208054,43044.6194309,,,104374.73,-625.46,Deficit
बायोमास/Biomass ,10743.109999999999,10047.873999999998,336.782551,284.124122,118.53360025517298,RE_Monthly_Generation_report_July_2025,3112.039664,2873.394282,1359.650835,1131.441893,120.1697447665569,1022.868284,,,3141.14,-29.1,Deficit
बगास/Bagasse,,,996.7511,132.361,753.0549784302023,RE_Monthly_Generation_report_July_2025,9369.8799005,11179.50804017,1790.368828,1419.1545099999998,126.15742791812008,793.6177279999999,,,9516.9,-147.02,Deficit
लघु जल विद्युत्/Small Hydro ,5108.710000000001,4286.822999999999,1584.518044,1323.0233825,119.7649312142826,RE_Monthly_Generation_report_July_2025,9016.81973476,10591.78633738,4223.6974811,3427.3894365,123.23366105175309,2639.1794371,,,8215.28,801.54,Surplus
बृहत् जल विद्युत्/Large Hydro($),49378.17,49378.17,21673.9,17562.91,123.40722579572521,RE_Monthly_Generation_report_July_2025,127038.22,154325.21999999997,61332.15,52531.42,116.75326880560245,39658.25,,,121165.23,5872.99,Surplus
अन्य/Others,854.4499999999999,938.835,236.2265,245.10704090000002,96.37687237894437,RE_Monthly_Generation_report_July_2025,2495.1251975000005,2299.7696202,969.9807000000001,961.3166386,100.90127030492448,733.7542000000001,,,2288.98,206.15,Surplus
कुल/Total Including Large Hydro,237241.07999999996,207269.25489999997,54501.652212,43530.8699935,125.20230406637441,RE_Monthly_Generation_report_July_2025,333588.6410580741,340712.6785797909,174271.61638099997,142598.3102857,122.21155778903801,119769.96416899998,,,343418.0,-9829.36,Deficit
कुल/Total Excluding Large Hydro,187862.90999999997,157891.08489999996,32827.752212,25967.959993499997,126.41636932672829,RE_Monthly_Generation_report_July_2025,206550.421058074,186387.458579791,112939.46638099999,90157.15028569997,125.26956100886606,80111.71416899998,,,205206.75,1343.67,Surplus
,,,,,,RE_Monthly_Generation_report_July_2025,,,,,,174271.61638099997,,,,,Deficit
 (*) Solar Installed capacity including 3.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_July_2025,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during July 2025  is 1485.07 MUs and April 2025 to July 2025 is 3345.79 MUs.",,,,,,RE_Monthly_Generation_report_July_2025,,,,,,,,,,,Deficit
,,,,Month -June 2025,,RE_Monthly_Generation_report_June_2025,,,,,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_June_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_June_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_June_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 30.06.2025),"Monitored Capacity (MW) 
(as on 30.06.2025)
for which generation data is available 
",RE Generation(MU) June'2025,RE Generation(MU) June'2024,% of same Month Last Year ,RE_Monthly_Generation_report_June_2025,,,RE Generation(MU) April'2025- June'2025,RE Generation(MU) April'2024- June'2024,% of same period Last Year ,,,,,,Deficit
,1,2,3,4,5,RE_Monthly_Generation_report_June_2025,,,6,7,8,,,,,,Deficit
पवन/Wind ,51674.85,49513.2,14879.540086,10134.9164,146.8146307156515,RE_Monthly_Generation_report_June_2025,78807.284749381,67673.092600214,31877.675089,23121.802249,137.86847039736568,16998.135003,,,79357.89,-550.61,Deficit
